Method,Path
GET,/api/provider
GET,/api/provideraccount/{id}/account/all
GET,/api/account/{accountId}/projection
POST,/api/asset
GET,/api/asset/exist
GET,/api/asset/{id}
GET,/api/asset/factsheet
GET,/api/asset/keyinvestor
GET,/api/pension/active
POST,/api/pension/active
GET,/api/account/type
GET,/api/account/transaction/other
GET,/api/account/transaction/category
GET,/api/account/{accountId}
DELETE,/api/account/{accountId}
POST,/api/account/transaction
GET,/api/account/transaction/all
GET,/api/account/currency
GET,/api/account
POST,/api/account
PUT,/api/account/goal
GET,/api/provider/{linkServiceId}/{linkServiceProviderId}
POST,/api/account/transaction/rule
POST,/api/provideraccount
GET,/api/account/{accountId}/beneficiaries
PUT,/api/account/{accountId}/beneficiaries
GET,/api/account/{id}/performance
GET,/api/account/{id}/performance/periods
POST,/api/account/{accountId}/fundsoperations
GET,/api/appointment/category
GET,/api/appointment/availability
PUT,/api/appointment
POST,/api/appointment
PATCH,/api/appointment
GET,/api/appointment/{appointmentId}
DELETE,/api/appointment/{appointmentId}
GET,/api/appointment/all
GET,/api/budget/categories-monthly-average
GET,/api/budget/monthly-savings
POST,/api/campaign/activate
POST,/api/campaign/deactivate
POST,/api/campaign/test
GET,/api/country/uk/address
GET,/api/country/account/category/all
POST,/api/country/uk/equityrelease
GET,/api/country/uk/property
POST,/api/country/uk/equityrelease/term
POST,/api/country/uk/equityrelease/flex
GET,/api/country/uk/equityrelease/contract
GET,/api/country/phone
GET,/api/country/email
GET,/api/country/area
GET,/api/country/city
GET,/api/country/expense/category
GET,/api/country/expense
GET,/api/country/lifestyle/all
GET,/api/country/lifestyle
GET,/api/country/all
GET,/api/country/{countryId}
GET,/api/country/taxtranches
GET,/api/country/system
GET,/api/country/working
GET,/api/document/all
GET,/api/document
PUT,/api/document/tracing/upload
GET,/api/enterprise/list
GET,/api/employer/all
GET,/api/employer/pension
GET,/api/employer/provider/scheme
GET,/api/employer/provider/scheme/{id}
GET,/api/employer/current
GET,/api/employer
GET,/api/employer/contribution
GET,/api/employer/contribution/all
GET,/api/employer/contribution/default
GET,/api/employer/contribution/rule
POST,/api/tracing
DELETE,/api/tracing
GET,/api/tracing/all
GET,/api/tracing/{tracingId}
PUT,/api/tracing/{tracingId}
GET,/api/tracing/{tracingId}/document
POST,/api/enterprise/resource/preferred
GET,/api/enterprise/policy
GET,/api/enterprise/intent/all
PUT,/api/enterprise/profile
POST,/api/enterprise/transaction/email
POST,/api/enterprise/resource
POST,/api/enterprise/email
GET,/api/enterprise/terms
GET,/api/enterprise
GET,/api/enterprise/uri
GET,/api/enterprise/hostname
GET,/api/enterprise/configuration
GET,/api/enterprise/reseller
POST,/api/enterprise/token
GET,/api/enterprise/occupation/search
GET,/api/enterprise/occupation/{occupationId}
POST,/api/enterprise/encrypt
POST,/api/enterprise/invitation
GET,/api/enterprise/languages
POST,/api/enterprise/callmeback
POST,/api/enterprise/customer/register
GET,/api/enterprise/customer/all
GET,/api/enterprise/customer/detail/{customerId}
DELETE,/api/enterprise/customer
GET,/api/diagnostics/all
GET,/api/risk
POST,/api/risk
GET,/api/risk/response/all
GET,/api/risk/portfolio/number
GET,/api/risk/grade
GET,/api/risk/grade/portfolio
GET,/api/risk/grade/all
GET,/api/risk/portfolio
GET,/api/formula/retirementincome
GET,/api/formula/allowance
GET,/api/formula/contribution/total
GET,/api/formula/allowance/remaining
POST,/api/formula/allowance/remaining
GET,/api/graph/pension/{accountId}
POST,/api/graph/pension
POST,/api/graph/pensionFunds
GET,/api/formula/allocation
POST,/api/formula/salary/gross2net
POST,/api/formula/salary/net2gross
POST,/api/formula/statepension
GET,/api/formula/taxrelief
POST,/api/formula/contribution/taxrelief
POST,/api/formula/contribution/topup
POST,/api/formula/contribution/topup/rate
POST,/api/formula/salary/spendingratio
POST,/api/formula/contribution/remaining
POST,/api/formula/capital
GET,/api/graph/retirement/income
GET,/api/graph/retirement/income/accumulated
POST,/api/graph/cashvsinvestmentsimulator
POST,/api/graph/cashsimulator
GET,/api/goal/{goalId}
DELETE,/api/goal/{goalId}
GET,/api/goal/budget/all
DELETE,/api/goal/budget/all
DELETE,/api/goal/budget/{budgetGoalId}
POST,/api/goal/budget
POST,/api/goal/budget/score
POST,/api/goal/retirement/default
GET,/api/goal/retirement/option/all
GET,/api/expense/savings
GET,/api/expense/category
GET,/api/goal/budget/category
GET,/api/expense/all
GET,/api/goal/retirement/fees
PUT,/api/goal/priorities
POST,/api/goal/return
POST,/api/goal/drawdown
GET,/api/goal/target
POST,/api/goal/achievement
POST,/api/goal/simplewealth/estimate
POST,/api/goal/retirement/bestage
PUT,/api/goal
POST,/api/goal
GET,/api/goal/budget/aggregated
GET,/api/goal/top
GET,/api/goal/budget/rate
GET,/api/goal/account/all
PUT,/api/goal/account/all
GET,/api/goal/type
GET,/api/goal/type/first
GET,/api/goal/all
GET,/api/goal/graphic
GET,/api/goal/graphic/{goalId}
GET,/api/goal/type/all
GET,/api/portfolio/{id}/allocation
GET,/api/portfolio/{id}/allocation/assetclass
GET,/api/portfolio/{id}/risk/grade
POST,/api/goal/suggested
GET,/api/goal/{goalId}/account/all
POST,/api/goal/transaction
PUT,/api/goal/account
DELETE,/api/goal/account
GET,/api/goal/{goalId}/account/mappeable
GET,/api/goal/account/{accountId}/distribution
GET,/api/goal/account/{accountId}/transaction
POST,/api/goal/savingplans
GET,/api/goal/resources
GET,/api/goal/{goalId}/portfolio
GET,/api/kc/posts
POST,/api/kc/posts/synchronize
GET,/api/kc/post/persona
POST,/api/nba/product
POST,/api/nudge
PUT,/api/nudge/{id}
DELETE,/api/nudge/{id}
POST,/api/nudge/segmentation
POST,/api/nudge/scheduling
POST,/api/nudge/test
PUT,/api/nudge/notification/all
POST,/api/nudge/notification/all
PUT,/api/nudge/notification/{id}
POST,/api/nudge/notification/{id}
GET,/api/nudge/token
GET,/api/payment/product/all
POST,/api/payment/feature/availability
GET,/api/payment/feature/availability/all
GET,/api/policy/all
GET,/api/policy/{policyId}
GET,/api/product/all
GET,/api/category/{categoryType}/product/all
GET,/api/product/{productId}
GET,/api/product/category/{categoryIdOrCode}
GET,/api/product/category/code/{categoryCode}
GET,/api/report/{reportId}/token
GET,/api/retirement/ris
POST,/api/retirement/ris
POST,/api/retirement/drawdown/info
GET,/api/retirement/duration
GET,/api/retirement/target
POST,/api/retirement/annuity/info
POST,/api/retirement/drawdown/context
POST,/api/retirement/drawdown
POST,/api/retirement/drawdown/document
GET,/api/retirement/drawdown/form
GET,/api/retirement/annuity/occupations
GET,/api/retirement/annuity/otherconditions
GET,/api/retirement/annuity/medications
GET,/api/retirement/annuity/cancers
GET,/api/retirement/annuity/cancersurgeries
GET,/api/retirement/annuity/heartotherdiagnoses
GET,/api/retirement/annuity/neurologicalotherdiagnoses
GET,/api/retirement/annuity
POST,/api/retirement/annuity
GET,/api/retirement/annuity/block/{annuityCaseId}
POST,/api/retirement/annuity/block/{annuityCaseId}
GET,/api/retirement/annuity/{annuityCaseId}
PUT,/api/retirement/annuity/{annuityCaseId}
GET,/api/retirement/annuity/document
GET,/api/retirement/annuity/{annuityCaseId}/detail
PUT,/api/retirement/annuity/signature
POST,/api/retirement/keepinvestment/info
POST,/api/retirement/keepinvestment
POST,/api/retirement/withdraw/valid
POST,/api/retirement/withdraw/info
POST,/api/retirement/withdraw
POST,/api/transaction/all
GET,/api/transaction
PUT,/api/transaction
POST,/api/transaction
DELETE,/api/transaction
POST,/api/transaction/email
POST,/api/transaction/pension/increasecontribution
POST,/api/transaction/pension/switchfunds
POST,/api/transaction/savings/monthly
POST,/api/transaction/savings/single
POST,/api/transaction/callback
GET,/api/transfer/investment
POST,/api/transfer
GET,/api/transfer/providers
POST,/api/transfer/sign
GET,/api/transfer/info
GET,/api/user/lifeexpectancy
GET,/api/user
GET,/api/user/login
GET,/api/user/info
PUT,/api/user/info
GET,/api/user/sensitive
POST,/api/device
DELETE,/api/device
PATCH,/api/user/details
GET,/api/user/tax
GET,/api/support/comments
GET,/api/support
POST,/api/support
DELETE,/api/support
GET,/api/support/options
GET,/api/user/maritalstatuses
POST,/api/user/import/exist
POST,/api/user/import/confirm
POST,/api/user/import/update
GET,/api/preference
POST,/api/preference
